,sample,features,std,score,time
140,5000,7,4.0,0.9688,0.057839
141,5000,7,5.0,0.9332,0.036906
142,5000,7,6.0,0.888,0.033909
143,5000,7,7.0,0.8406,0.027926
144,10000,2,2.0,0.7121,0.041887
145,10000,2,2.4,0.6803,0.040891
146,10000,2,2.8,0.6553,0.034908
147,10000,2,3.0,0.6401,0.037897
148,10000,2,4.0,0.5839,0.033911
149,10000,2,5.0,0.5449,0.02992
150,10000,2,6.0,0.5138,0.029919
151,10000,2,7.0,0.4924,0.034906
152,10000,3,2.0,0.9719,0.069782
153,10000,3,2.4,0.9498,0.056849
154,10000,3,2.8,0.9228,0.047872
155,10000,3,3.0,0.9089,0.051861
156,10000,3,4.0,0.8361,0.043883
157,10000,3,5.0,0.772,0.035904
158,10000,3,6.0,0.7158,0.035904
159,10000,3,7.0,0.6756,0.029919
160,10000,4,2.0,1.0,0.060869
161,10000,4,2.4,0.9991,0.060807
162,10000,4,2.8,0.9958,0.055882
163,10000,4,3.0,0.9924,0.049871
164,10000,4,4.0,0.9553,0.040886
165,10000,4,5.0,0.8971,0.045877
166,10000,4,6.0,0.8396,0.048873
167,10000,4,7.0,0.7889,0.030913
168,10000,5,2.0,1.0,0.070811
169,10000,5,2.4,0.9999,0.075799
170,10000,5,2.8,0.999,0.06283
171,10000,5,3.0,0.9979,0.05585
172,10000,5,4.0,0.9742,0.042886
173,10000,5,5.0,0.9337,0.041889
174,10000,5,6.0,0.879,0.041887
175,10000,5,7.0,0.8269,0.040891
176,10000,6,2.0,1.0,0.047873
177,10000,6,2.4,1.0,0.056847
178,10000,6,2.8,0.9999,0.063829
179,10000,6,3.0,0.9999,0.072806
180,10000,6,4.0,0.9927,0.05585
181,10000,6,5.0,0.9679,0.041889
182,10000,6,6.0,0.9312,0.039893
183,10000,6,7.0,0.8866,0.039893
184,10000,7,2.0,0.9997,0.113696
185,10000,7,2.4,0.9986,0.122639
186,10000,7,2.8,0.9942,0.136635
187,10000,7,3.0,0.9914,0.131663
188,10000,7,4.0,0.9689,0.100747
189,10000,7,5.0,0.9312,0.068816
190,10000,7,6.0,0.8893,0.056851
191,10000,7,7.0,0.8401,0.047872
192,20000,2,2.0,0.71095,0.07779
193,20000,2,2.4,0.67965,0.073801
194,20000,2,2.8,0.65105,0.05984
195,20000,2,3.0,0.63835,0.057846
196,20000,2,4.0,0.58295,0.059839
197,20000,2,5.0,0.54275,0.054853
198,20000,2,6.0,0.51135,0.053857
199,20000,2,7.0,0.4868,0.059808
200,20000,3,2.0,0.9743,0.150629
201,20000,3,2.4,0.95085,0.10073
202,20000,3,2.8,0.92265,0.097739
203,20000,3,3.0,0.9077,0.106714
204,20000,3,4.0,0.83685,0.079787
205,20000,3,5.0,0.77535,0.067822
206,20000,3,6.0,0.7208,0.060834
207,20000,3,7.0,0.6766,0.056847
208,20000,4,2.0,0.9998,0.136635
209,20000,4,2.4,0.9986,0.127658
210,20000,4,2.8,0.9948,0.097739
211,20000,4,3.0,0.99105,0.087766
212,20000,4,4.0,0.9529,0.080783
213,20000,4,5.0,0.8947,0.075798
214,20000,4,6.0,0.83815,0.092721
215,20000,4,7.0,0.78615,0.068816
216,20000,5,2.0,1.0,0.14933
217,20000,5,2.4,1.0,0.195618
218,20000,5,2.8,0.99905,0.151992
219,20000,5,3.0,0.99795,0.125033
220,20000,5,4.0,0.97615,0.100946
221,20000,5,5.0,0.9316,0.099765
222,20000,5,6.0,0.8788,0.109584
223,20000,5,7.0,0.83055,0.083756
224,20000,6,2.0,1.0,0.113428
225,20000,6,2.4,1.0,0.154445
226,20000,6,2.8,0.99995,0.195994
227,20000,6,3.0,0.99975,0.170068
228,20000,6,4.0,0.9912,0.10341
229,20000,6,5.0,0.9689,0.090563
230,20000,6,6.0,0.9316,0.087802
231,20000,6,7.0,0.88895,0.087607
232,20000,7,2.0,0.9998,0.262504
233,20000,7,2.4,0.99845,0.278968
234,20000,7,2.8,0.9946,0.280095
235,20000,7,3.0,0.992,0.26706
236,20000,7,4.0,0.96645,0.193379
237,20000,7,5.0,0.9299,0.130182
238,20000,7,6.0,0.8865,0.131271
239,20000,7,7.0,0.84115,0.096816
240,30000,2,2.0,0.7113666666666667,0.10369
241,30000,2,2.4,0.6812,0.081813
242,30000,2,2.8,0.6529,0.117685
243,30000,2,3.0,0.6399,0.122671
244,30000,2,4.0,0.5840666666666666,0.127659
245,30000,2,5.0,0.5411333333333334,0.107712
246,30000,2,6.0,0.5100333333333333,0.080783
247,30000,2,7.0,0.487,0.072806
248,30000,3,2.0,0.9749666666666666,0.241912
249,30000,3,2.4,0.9534666666666667,0.195909
250,30000,3,2.8,0.927,0.229419
251,30000,3,3.0,0.9128333333333334,0.137263
252,30000,3,4.0,0.8410333333333333,0.11608
253,30000,3,5.0,0.7785666666666666,0.108468
254,30000,3,6.0,0.7225666666666667,0.099628
255,30000,3,7.0,0.6768333333333333,0.103751
256,30000,4,2.0,0.9998666666666667,0.226483
257,30000,4,2.4,0.9983333333333333,0.311038
258,30000,4,2.8,0.9944666666666667,0.172569
259,30000,4,3.0,0.9914333333333334,0.166906
260,30000,4,4.0,0.9539666666666666,0.166939
261,30000,4,5.0,0.8980666666666667,0.134308
262,30000,4,6.0,0.8405,0.136386
263,30000,4,7.0,0.7875333333333333,0.11503
264,30000,5,2.0,1.0,0.337213
265,30000,5,2.4,0.9999,0.253214
266,30000,5,2.8,0.9985333333333334,0.185014
267,30000,5,3.0,0.9968666666666667,0.196061
268,30000,5,4.0,0.9751,0.141081
269,30000,5,5.0,0.9317333333333333,0.135134
270,30000,5,6.0,0.8784666666666666,0.247732
271,30000,5,7.0,0.8288666666666666,0.121382
272,30000,6,2.0,1.0,0.157829
273,30000,6,2.4,0.9999666666666667,0.228696
274,30000,6,2.8,0.9997,0.221103
275,30000,6,3.0,0.9992333333333333,0.267804
276,30000,6,4.0,0.9911,0.2548
