Date,Open,High,Low,Close,Adj Close,Volume
2022-08-04,1618.886719,1658.511597,1585.326538,1608.205811,1608.205811,14467440626
2022-08-05,1607.523926,1732.254639,1606.497070,1732.254639,1732.254639,18546491876
2022-08-06,1732.661133,1744.326416,1691.658081,1691.658081,1691.658081,11757911705
2022-08-07,1691.777954,1724.789185,1672.908447,1699.350830,1699.350830,10252090340
2022-08-08,1699.693481,1806.886475,1697.407959,1775.516113,1775.516113,16841424404
2022-08-09,1776.071289,1786.122559,1675.849854,1703.025024,1703.025024,16368619692
2022-08-10,1702.906494,1869.400635,1665.090454,1851.742676,1851.742676,23512477984
2022-08-11,1851.828369,1927.939209,1851.828369,1881.224121,1881.224121,23826986482
2022-08-12,1880.899170,1957.552979,1860.083496,1957.246460,1957.246460,17168141904
2022-08-13,1957.333984,2013.755737,1948.595215,1981.336548,1981.336548,16038975216
2022-08-14,1981.782471,2022.791504,1919.010132,1936.802002,1936.802002,14062754456
2022-08-15,1936.760498,2007.210327,1881.856812,1904.228149,1904.228149,20349931313
2022-08-16,1902.833130,1910.745361,1862.273438,1878.139404,1878.139404,15637578930
2022-08-17,1877.934326,1951.675659,1823.532227,1832.999634,1832.999634,20308508124
2022-08-18,1833.715576,1876.376953,1826.957764,1847.007813,1847.007813,14999352229
2022-08-19,1847.095337,1847.095337,1611.338867,1612.987305,1612.987305,25906358731
2022-08-20,1612.650635,1652.218750,1534.298828,1577.003784,1577.003784,18334580263
2022-08-21,1576.543579,1640.936523,1569.046509,1619.318970,1619.318970,15849221752
2022-08-22,1619.166870,1622.778809,1535.014771,1622.505859,1622.505859,18557078599
2022-08-23,1622.939331,1666.676514,1569.428589,1662.769897,1662.769897,18322041914
2022-08-24,1662.695435,1686.557739,1610.099243,1657.059204,1657.059204,16780932907
2022-08-25,1657.336548,1718.183228,1656.856079,1696.457031,1696.457031,14818795695
2022-08-26,1696.324585,1698.561035,1498.771240,1507.782837,1507.782837,26713710143
2022-08-27,1508.156982,1517.150024,1454.282959,1491.395020,1491.395020,18120831899
2022-08-28,1491.206787,1505.791992,1430.547363,1430.547363,1430.547363,12823572918
2022-08-29,1430.439453,1556.309570,1427.728394,1553.037354,1553.037354,17965837488
2022-08-30,1553.188965,1600.461182,1480.831787,1523.838867,1523.838867,21835784470
2022-08-31,1524.286499,1612.358887,1524.286499,1553.684937,1553.684937,20591680941
2022-09-01,1553.756348,1593.082764,1520.188354,1586.176758,1586.176758,16434276817
2022-09-02,1586.017944,1643.183228,1551.877930,1577.220459,1577.220459,17708478709
2022-09-03,1577.213745,1579.454346,1541.672119,1556.872681,1556.872681,9516825994
2022-09-04,1556.895874,1578.009277,1543.698853,1577.641602,1577.641602,8884144998
2022-09-05,1577.884033,1621.661377,1559.781860,1617.183228,1617.183228,13060541168
2022-09-06,1617.240234,1680.595337,1561.748535,1561.748535,1561.748535,22946059125
2022-09-07,1560.906738,1651.051147,1500.013672,1629.906372,1629.906372,19560363854
2022-09-08,1629.805176,1655.064087,1603.063843,1635.347656,1635.347656,17621046717
2022-09-09,1635.187744,1735.809814,1632.836548,1719.085449,1719.085449,20242323690
2022-09-10,1718.961304,1784.497803,1710.296997,1776.203735,1776.203735,13130928217
2022-09-11,1775.976074,1782.729858,1730.164795,1761.800049,1761.800049,12464301922
2022-09-12,1762.084839,1778.163452,1698.293457,1713.765259,1713.765259,17688391310
2022-09-13,1713.962524,1745.779053,1564.031860,1580.787964,1580.787964,23066821734
2022-09-14,1574.858154,1642.157227,1564.031860,1634.755005,1634.755005,17897150206
2022-09-15,1635.083008,1648.945679,1466.139404,1471.693481,1471.693481,26946275878
2022-09-16,1471.928345,1480.564209,1415.581299,1432.447754,1432.447754,16764804299
2022-09-17,1432.876465,1473.060425,1415.042358,1469.741699,1469.741699,10798098671
2022-09-18,1469.705444,1469.705444,1331.494751,1335.329102,1335.329102,15762284723
2022-09-19,1335.270752,1388.272217,1287.420898,1377.541382,1377.541382,18712714223
2022-09-20,1377.619019,1381.965698,1319.201416,1324.388184,1324.388184,14722317220
2022-09-21,1324.215576,1384.476929,1229.426758,1252.607788,1252.607788,20643507800
2022-09-22,1251.567383,1336.157837,1240.968262,1327.680176,1327.680176,18461527259
2022-09-23,1327.481201,1353.288330,1270.198364,1328.259521,1328.259521,18771106339
2022-09-24,1328.244629,1346.255249,1312.640259,1317.993286,1317.993286,12098209717
2022-09-25,1317.938477,1333.371338,1275.627686,1294.216797,1294.216797,11802651633
2022-09-26,1294.386108,1335.526367,1282.049316,1335.320190,1335.320190,16034549271
2022-09-27,1335.337036,1396.891479,1308.991455,1330.127686,1330.127686,17870598937
2022-09-28,1329.541382,1351.964478,1267.869263,1337.410889,1337.410889,18994979566
2022-09-29,1337.554443,1348.107666,1293.193359,1335.652344,1335.652344,13796915736
2022-09-30,1335.646484,1368.743408,1320.383179,1327.978638,1327.978638,14250100093
2022-10-01,1328.193726,1332.516479,1306.102539,1311.644409,1311.644409,6227961237
2022-10-02,1311.753418,1316.330078,1275.336060,1276.093506,1276.093506,7578351650
2022-10-03,1276.163452,1326.554443,1271.150879,1323.439209,1323.439209,10153070907
2022-10-04,1323.278320,1364.970947,1320.076660,1362.126587,1362.126587,10139774963
2022-10-05,1361.972900,1362.451782,1320.855103,1352.837158,1352.837158,9774451820
2022-10-06,1352.806641,1380.404907,1349.449951,1351.709473,1351.709473,12033514861
2022-10-07,1351.836426,1359.328125,1321.746094,1332.516968,1332.516968,10061619355
2022-10-08,1332.371338,1335.954834,1307.072998,1315.500488,1315.500488,5804676208
2022-10-09,1315.460205,1327.668823,1309.344604,1322.604248,1322.604248,5486230123
2022-10-10,1322.618652,1335.662720,1291.337646,1291.337646,1291.337646,8794491050
2022-10-11,1291.109619,1296.273926,1272.737671,1279.575684,1279.575684,9274845260
2022-10-12,1279.732300,1303.075195,1277.527466,1294.906372,1294.906372,8355638578
2022-10-13,1294.917358,1297.564209,1209.278198,1288.123901,1288.123901,17499038202
2022-10-14,1288.048706,1339.744751,1285.378296,1297.422119,1297.422119,13113767755
2022-10-15,1297.305908,1300.745972,1268.468506,1274.871704,1274.871704,6798512624
2022-10-16,1275.005493,1312.634521,1275.005493,1306.296631,1306.296631,7491625206
2022-10-17,1306.309570,1335.647827,1297.447266,1331.713623,1331.713623,9401189650
2022-10-18,1331.669922,1339.085938,1291.660645,1310.447021,1310.447021,10416747806
2022-10-19,1310.563110,1312.442383,1283.965332,1285.744263,1285.744263,8350692785
2022-10-20,1285.660278,1307.855103,1275.323975,1283.200928,1283.200928,9009111996
2022-10-21,1283.188110,1305.081299,1260.666748,1299.946411,1299.946411,10412565245
2022-10-22,1299.902344,1317.101074,1295.946899,1314.299194,1314.299194,7175324564
2022-10-23,1314.249512,1367.760742,1302.908813,1363.447021,1363.447021,9909510925
2022-10-24,1363.491821,1368.425537,1327.854004,1344.998535,1344.998535,13092820173
2022-10-25,1344.711304,1509.985474,1336.978882,1461.665405,1461.665405,25367291294
2022-10-26,1461.133179,1584.636719,1460.428711,1566.566650,1566.566650,32705548427
2022-10-27,1566.841431,1574.403442,1510.816772,1514.374878,1514.374878,22813499245
2022-10-28,1514.323120,1568.633911,1493.871094,1555.477905,1555.477905,19974623205
2022-10-29,1555.274658,1652.382202,1549.983643,1619.698486,1619.698486,21618154775
2022-10-30,1619.697876,1637.037842,1579.485229,1590.783325,1590.783325,13930073427
2022-10-31,1590.481323,1630.452881,1555.918945,1572.714478,1572.714478,19306919714
2022-11-01,1572.645386,1606.605713,1568.098511,1579.704590,1579.704590,14507311208
2022-11-02,1579.497925,1613.410645,1507.244751,1519.711792,1519.711792,23254218281
2022-11-03,1519.724854,1556.759644,1517.101685,1531.541748,1531.541748,14248351007
2022-11-04,1531.397583,1661.334717,1529.268433,1645.093384,1645.093384,20806964347
2022-11-05,1645.156494,1660.486450,1625.964233,1627.968018,1627.968018,11006973190
2022-11-06,1627.901123,1634.132446,1572.234741,1572.234741,1572.234741,11632744705
2022-11-07,1572.016968,1604.475342,1550.415527,1568.591309,1568.591309,15279963349
2022-11-08,1568.329590,1574.799805,1259.443115,1332.835571,1332.835571,42048003440
2022-11-09,1333.122437,1335.743530,1083.285645,1100.169800,1100.169800,38864492427
2022-11-10,1100.107178,1341.791138,1093.122559,1299.464600,1299.464600,28581002122
2022-11-11,1298.882446,1302.295288,1211.329590,1287.221069,1287.221069,20920539099
2022-11-12,1287.438354,1288.150879,1242.152222,1255.268311,1255.268311,10964962767
2022-11-13,1255.441284,1271.712524,1208.520996,1221.819214,1221.819214,10717455214
